model,mode_1,count_1,mode_2,count_2,total_pairs,winner,ratio,proportions,p_value,significant
deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,addExample,428,makeCasual,204,2,addExample,2.100,67.72% vs 32.28%,2.09e-36,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,companyName,185,makeProfessional,88,2,companyName,2.100,67.77% vs 32.23%,1.02e-16,True
o1-2024-12-17-FC,fusion,769,makeProfessional,380,2,fusion,2.020,66.93% vs 33.07%,3.12e-59,True
Qwen_Qwen2.5-7B-Instruct-FC,maintenanceLine,771,makeProfessional,383,2,maintenanceLine,2.010,66.81% vs 33.19%,1.09e-58,True
Qwen_Qwen2.5-3B-Instruct-FC,endorsementLine,767,maintenanceLine,386,2,endorsementLine,1.990,66.52% vs 33.48%,1.05e-56,True
Qwen_Qwen2.5-14B-Instruct-FC,addExample,772,makeCasual,403,2,addExample,1.920,65.70% vs 34.30%,2.46e-52,True
Qwen_Qwen2.5-14B-Instruct-FC,addExample,782,numbersLine,412,2,addExample,1.900,65.49% vs 34.51%,8.42e-52,True
Qwen_Qwen2.5-1.5B-Instruct-FC,endorsementLine,736,makeProfessional,390,2,endorsementLine,1.890,65.36% vs 34.64%,3.65e-48,True
Qwen_Qwen2.5-32B-Instruct-FC,addExample,765,increaseLength,404,2,addExample,1.890,65.44% vs 34.56%,2.04e-50,True
Qwen_Qwen2.5-7B-Instruct-FC,maintenanceLine,754,makeCasual,400,2,maintenanceLine,1.890,65.34% vs 34.66%,3.72e-49,True
Qwen_Qwen2.5-14B-Instruct-FC,addExample,775,makeProfessional,415,2,addExample,1.870,65.13% vs 34.87%,2.71e-49,True
Qwen_Qwen2.5-7B-Instruct-FC,addExample,733,increaseLength,391,2,addExample,1.870,65.21% vs 34.79%,3.53e-47,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,addExample,388,numbersLine,208,2,addExample,1.870,65.10% vs 34.90%,1.86e-25,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-14B,endorsementLine,333,fusion,618,2,fusion,1.860,35.02% vs 64.98%,4.90e-39,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,addExample,370,companyName,200,2,addExample,1.850,64.91% vs 35.09%,7.50e-24,True
Qwen_Qwen2.5-1.5B-Instruct-FC,addExample,673,companyName,371,2,addExample,1.810,64.46% vs 35.54%,6.89e-40,True
Qwen_Qwen2.5-1.5B-Instruct-FC,companyName,401,endorsementLine,724,2,endorsementLine,1.810,35.64% vs 64.36%,3.09e-42,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,endorsementLine,190,fusion,343,2,fusion,1.810,35.65% vs 64.35%,7.10e-21,True
Qwen_Qwen2.5-32B-Instruct-FC,increaseLength,760,makeProfessional,428,2,increaseLength,1.780,63.97% vs 36.03%,2.96e-42,True
Qwen_Qwen2.5-7B-Instruct-FC,addExample,718,companyName,406,2,addExample,1.770,63.88% vs 36.12%,1.47e-39,True
Qwen_Qwen2.5-1.5B-Instruct-FC,endorsementLine,681,increaseLength,389,2,endorsementLine,1.750,63.64% vs 36.36%,1.55e-36,True
Qwen_Qwen2.5-3B-Instruct-FC,addExample,399,endorsementLine,700,2,endorsementLine,1.750,36.31% vs 63.69%,9.72e-38,True
Qwen_Qwen2.5-32B-Instruct-FC,increaseLength,749,makeCasual,431,2,increaseLength,1.740,63.47% vs 36.53%,3.67e-39,True
Qwen_Qwen2.5-1.5B-Instruct-FC,endorsementLine,707,maintenanceLine,417,2,endorsementLine,1.700,62.90% vs 37.10%,2.07e-34,True
Qwen_Qwen2.5-7B-Instruct-FC,addExample,715,makeCasual,426,2,addExample,1.680,62.66% vs 37.34%,1.06e-33,True
o1-2024-12-17-FC,addExample,731,increaseLength,437,2,addExample,1.670,62.59% vs 37.41%,4.73e-34,True
o1-2024-12-17-FC,addExample,712,makeCasual,429,2,addExample,1.660,62.40% vs 37.60%,2.19e-32,True
o1-2024-12-17-FC,increaseLength,727,makeProfessional,438,2,increaseLength,1.660,62.40% vs 37.60%,4.85e-33,True
Qwen_Qwen2.5-14B-Instruct-FC,addExample,706,increaseLength,427,2,addExample,1.650,62.31% vs 37.69%,9.82e-32,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-14B,addExample,642,numbersLine,392,2,addExample,1.640,62.09% vs 37.91%,4.04e-28,True
Qwen_Qwen2.5-1.5B-Instruct-FC,endorsementLine,696,numbersLine,426,2,endorsementLine,1.630,62.03% vs 37.97%,4.21e-30,True
Qwen_Qwen2.5-7B-Instruct-FC,addExample,701,makeProfessional,434,2,addExample,1.620,61.76% vs 38.24%,3.72e-29,True
Qwen_Qwen2.5-0.5B-Instruct-FC,endorsementLine,546,fusion,340,2,endorsementLine,1.610,61.63% vs 38.37%,1.28e-22,True
Qwen_Qwen2.5-1.5B-Instruct-FC,addExample,648,numbersLine,404,2,addExample,1.600,61.60% vs 38.40%,1.96e-26,True
Qwen_Qwen2.5-32B-Instruct-FC,companyName,736,makeProfessional,464,2,companyName,1.590,61.33% vs 38.67%,1.19e-28,True
o1-2024-12-17-FC,fusion,705,numbersLine,444,2,fusion,1.590,61.36% vs 38.64%,1.30e-27,True
Qwen_Qwen2.5-14B-Instruct-FC,maintenanceLine,938,numbersLine,599,2,maintenanceLine,1.570,61.03% vs 38.97%,2.19e-34,True
Qwen_Qwen2.5-1.5B-Instruct-FC,endorsementLine,687,makeCasual,440,2,endorsementLine,1.560,60.96% vs 39.04%,2.35e-25,True
Qwen_Qwen2.5-32B-Instruct-FC,increaseLength,719,numbersLine,464,2,increaseLength,1.550,60.78% vs 39.22%,1.01e-25,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,companyName,92,numbersLine,143,2,numbersLine,1.550,39.15% vs 60.85%,2.54e-06,True
o1-2024-12-17-FC,increaseLength,702,makeCasual,457,2,increaseLength,1.540,60.57% vs 39.43%,2.50e-24,True
Qwen_Qwen2.5-1.5B-Instruct-FC,addExample,635,maintenanceLine,414,2,addExample,1.530,60.53% vs 39.47%,4.92e-22,True
Qwen_Qwen2.5-1.5B-Instruct-FC,addExample,634,makeProfessional,415,2,addExample,1.530,60.44% vs 39.56%,1.15e-21,True
Qwen_Qwen2.5-1.5B-Instruct-FC,addExample,641,makeCasual,424,2,addExample,1.510,60.19% vs 39.81%,5.27e-21,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,increaseLength,278,makeProfessional,184,2,increaseLength,1.510,60.17% vs 39.83%,6.22e-10,True
o1-2024-12-17-FC,addExample,684,numbersLine,454,2,addExample,1.510,60.11% vs 39.89%,5.31e-22,True
Qwen_Qwen2.5-1.5B-Instruct-FC,addExample,607,increaseLength,404,2,addExample,1.500,60.04% vs 39.96%,1.73e-19,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,companyName,68,maintenanceLine,102,2,maintenanceLine,1.500,40.00% vs 60.00%,2.26e-04,True
Qwen_Qwen2.5-1.5B-Instruct-FC,fusion,548,increaseLength,367,2,fusion,1.490,59.89% vs 40.11%,2.62e-17,True
o1-2024-12-17-FC,companyName,461,fusion,689,2,fusion,1.490,40.09% vs 59.91%,1.94e-21,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-14B,addExample,601,companyName,407,2,addExample,1.480,59.62% vs 40.38%,5.55e-18,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-14B,addExample,611,makeProfessional,412,2,addExample,1.480,59.73% vs 40.27%,1.38e-18,True
Qwen_Qwen2.5-0.5B-Instruct-FC,fusion,346,maintenanceLine,510,2,maintenanceLine,1.470,40.42% vs 59.58%,2.24e-15,True
Qwen_Qwen2.5-0.5B-Instruct-FC,fusion,349,makeProfessional,514,2,makeProfessional,1.470,40.44% vs 59.56%,1.97e-15,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-14B,addExample,589,makeCasual,400,2,addExample,1.470,59.56% vs 40.44%,1.91e-17,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,addExample,343,increaseLength,233,2,addExample,1.470,59.55% vs 40.45%,9.06e-11,True
Qwen_Qwen2.5-0.5B-Instruct-FC,companyName,522,fusion,358,2,companyName,1.460,59.32% vs 40.68%,5.35e-15,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,companyName,173,makeCasual,119,2,companyName,1.450,59.25% vs 40.75%,7.86e-06,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,maintenanceLine,141,numbersLine,97,2,maintenanceLine,1.450,59.24% vs 40.76%,5.50e-05,True
Qwen_Qwen2.5-1.5B-Instruct-FC,fusion,559,makeProfessional,388,2,fusion,1.440,59.03% vs 40.97%,3.89e-15,True
Qwen_Qwen2.5-3B-Instruct-FC,increaseLength,656,makeProfessional,457,2,increaseLength,1.440,58.94% vs 41.06%,3.29e-17,True
Qwen_Qwen2.5-32B-Instruct-FC,companyName,709,makeCasual,497,2,companyName,1.430,58.79% vs 41.21%,5.96e-18,True
Qwen_Qwen2.5-3B-Instruct-FC,maintenanceLine,670,makeProfessional,469,2,maintenanceLine,1.430,58.82% vs 41.18%,3.68e-17,True
Qwen_Qwen2.5-7B-Instruct-FC,addExample,668,numbersLine,466,2,addExample,1.430,58.91% vs 41.09%,2.19e-17,True
Qwen_Qwen2.5-3B-Instruct-FC,increaseLength,651,makeCasual,459,2,increaseLength,1.420,58.65% vs 41.35%,3.64e-16,True
Qwen_Qwen2.5-1.5B-Instruct-FC,fusion,551,makeCasual,391,2,fusion,1.410,58.49% vs 41.51%,1.68e-13,True
Qwen_Qwen2.5-14B-Instruct-FC,companyName,497,increaseLength,703,2,increaseLength,1.410,41.42% vs 58.58%,4.10e-17,True
Qwen_Qwen2.5-7B-Instruct-FC,companyName,481,maintenanceLine,679,2,maintenanceLine,1.410,41.47% vs 58.53%,2.01e-16,True
Qwen_Qwen2.5-0.5B-Instruct-FC,fusion,365,numbersLine,511,2,numbersLine,1.400,41.67% vs 58.33%,3.03e-12,True
Qwen_Qwen2.5-32B-Instruct-FC,companyName,496,increaseLength,693,2,increaseLength,1.400,41.72% vs 58.28%,6.50e-16,True
Qwen_Qwen2.5-0.5B-Instruct-FC,fusion,362,increaseLength,504,2,increaseLength,1.390,41.80% vs 58.20%,8.85e-12,True
Qwen_Qwen2.5-14B-Instruct-FC,endorsementLine,482,fusion,667,2,fusion,1.380,41.95% vs 58.05%,1.18e-14,True
Qwen_Qwen2.5-3B-Instruct-FC,companyName,670,makeProfessional,484,2,companyName,1.380,58.06% vs 41.94%,9.69e-15,True
Qwen_Qwen2.5-0.5B-Instruct-FC,fusion,368,makeCasual,505,2,makeCasual,1.370,42.15% vs 57.85%,5.48e-11,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,increaseLength,271,makeCasual,198,2,increaseLength,1.370,57.78% vs 42.22%,1.87e-06,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,makeProfessional,153,numbersLine,209,2,numbersLine,1.370,42.27% vs 57.73%,3.15e-05,True
o1-2024-12-17-FC,companyName,670,makeProfessional,493,2,companyName,1.360,57.61% vs 42.39%,2.14e-13,True
Qwen_Qwen2.5-1.5B-Instruct-FC,fusion,536,maintenanceLine,398,2,fusion,1.350,57.39% vs 42.61%,1.70e-10,True
Qwen_Qwen2.5-14B-Instruct-FC,companyName,647,numbersLine,871,2,numbersLine,1.350,42.62% vs 57.38%,4.27e-16,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,increaseLength,265,numbersLine,196,2,increaseLength,1.350,57.48% vs 42.52%,5.50e-06,True
o1-2024-12-17-FC,increaseLength,668,numbersLine,494,2,increaseLength,1.350,57.49% vs 42.51%,5.25e-13,True
o1-2024-12-17-FC,fusion,662,maintenanceLine,493,2,fusion,1.340,57.32% vs 42.68%,2.03e-12,True
Qwen_Qwen2.5-1.5B-Instruct-FC,addExample,394,fusion,524,2,fusion,1.330,42.92% vs 57.08%,1.30e-09,True
Qwen_Qwen2.5-3B-Instruct-FC,endorsementLine,455,fusion,603,2,fusion,1.330,43.01% vs 56.99%,1.24e-10,True
Qwen_Qwen2.5-7B-Instruct-FC,increaseLength,490,maintenanceLine,651,2,maintenanceLine,1.330,42.94% vs 57.06%,1.58e-11,True
o1-2024-12-17-FC,addExample,653,makeProfessional,492,2,addExample,1.330,57.03% vs 42.97%,1.71e-11,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-14B,maintenanceLine,673,makeProfessional,510,2,maintenanceLine,1.320,56.89% vs 43.11%,2.05e-11,True
Qwen_Qwen2.5-3B-Instruct-FC,companyName,656,makeCasual,500,2,companyName,1.310,56.75% vs 43.25%,8.66e-11,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,makeCasual,153,numbersLine,200,2,numbersLine,1.310,43.34% vs 56.66%,4.04e-04,True
Qwen_Qwen2.5-0.5B-Instruct-FC,addExample,390,makeProfessional,505,2,makeProfessional,1.290,43.58% vs 56.42%,5.44e-08,True
Qwen_Qwen2.5-3B-Instruct-FC,addExample,613,makeProfessional,476,2,addExample,1.290,56.29% vs 43.71%,4.33e-09,True
Qwen_Qwen2.5-3B-Instruct-FC,maintenanceLine,648,makeCasual,502,2,maintenanceLine,1.290,56.35% vs 43.65%,1.14e-09,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-14B,increaseLength,660,makeProfessional,515,2,increaseLength,1.280,56.17% vs 43.83%,2.20e-09,True
Qwen_Qwen2.5-3B-Instruct-FC,increaseLength,623,numbersLine,489,2,increaseLength,1.270,56.03% vs 43.97%,1.32e-08,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-14B,maintenanceLine,659,makeCasual,517,2,maintenanceLine,1.270,56.04% vs 43.96%,4.74e-09,True
Qwen_Qwen2.5-1.5B-Instruct-FC,addExample,468,endorsementLine,588,2,endorsementLine,1.260,44.32% vs 55.68%,1.77e-07,True
Qwen_Qwen2.5-0.5B-Instruct-FC,addExample,409,endorsementLine,511,2,endorsementLine,1.250,44.46% vs 55.54%,1.98e-06,True
Qwen_Qwen2.5-0.5B-Instruct-FC,addExample,388,increaseLength,483,2,increaseLength,1.240,44.55% vs 55.45%,5.31e-06,True
Qwen_Qwen2.5-3B-Instruct-FC,addExample,607,makeCasual,489,2,addExample,1.240,55.38% vs 44.62%,4.64e-07,True
Qwen_Qwen2.5-3B-Instruct-FC,addExample,611,numbersLine,494,2,addExample,1.240,55.29% vs 44.71%,6.44e-07,True
Qwen_Qwen2.5-14B-Instruct-FC,increaseLength,545,maintenanceLine,669,2,maintenanceLine,1.230,44.89% vs 55.11%,4.83e-07,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-14B,companyName,508,increaseLength,626,2,increaseLength,1.230,44.80% vs 55.20%,7.21e-07,True
Qwen_Qwen2.5-14B-Instruct-FC,increaseLength,668,makeProfessional,549,2,increaseLength,1.220,54.89% vs 45.11%,1.41e-06,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-14B,addExample,544,increaseLength,449,2,addExample,1.210,54.78% vs 45.22%,2.01e-05,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-14B,increaseLength,638,makeCasual,528,2,increaseLength,1.210,54.72% vs 45.28%,5.22e-06,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,increaseLength,188,maintenanceLine,227,2,maintenanceLine,1.210,45.30% vs 54.70%,6.78e-03,True
o1-2024-12-17-FC,companyName,631,makeCasual,520,2,companyName,1.210,54.82% vs 45.18%,3.71e-06,True
Qwen_Qwen2.5-1.5B-Instruct-FC,companyName,430,fusion,517,2,fusion,1.200,45.41% vs 54.59%,6.38e-05,True
Qwen_Qwen2.5-0.5B-Instruct-FC,addExample,413,numbersLine,490,2,numbersLine,1.190,45.74% vs 54.26%,2.90e-04,True
Qwen_Qwen2.5-1.5B-Instruct-FC,endorsementLine,506,fusion,426,2,endorsementLine,1.190,54.29% vs 45.71%,2.11e-04,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-14B,addExample,529,maintenanceLine,444,2,addExample,1.190,54.37% vs 45.63%,1.16e-04,True
o1-2024-12-17-FC,companyName,525,increaseLength,626,2,increaseLength,1.190,45.61% vs 54.39%,2.55e-05,True
Qwen_Qwen2.5-0.5B-Instruct-FC,addExample,404,companyName,478,2,companyName,1.180,45.80% vs 54.20%,4.25e-04,True
Qwen_Qwen2.5-14B-Instruct-FC,increaseLength,662,numbersLine,562,2,increaseLength,1.180,54.08% vs 45.92%,5.29e-05,True
o1-2024-12-17-FC,makeCasual,635,numbersLine,537,2,makeCasual,1.180,54.18% vs 45.82%,5.16e-05,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-14B,increaseLength,653,numbersLine,560,2,increaseLength,1.170,53.83% vs 46.17%,1.59e-04,True
o1-2024-12-17-FC,addExample,617,companyName,526,2,addExample,1.170,53.98% vs 46.02%,1.41e-04,True
Qwen_Qwen2.5-0.5B-Instruct-FC,addExample,428,makeCasual,498,2,makeCasual,1.160,46.22% vs 53.78%,1.14e-03,True
Qwen_Qwen2.5-14B-Instruct-FC,addExample,545,maintenanceLine,634,2,maintenanceLine,1.160,46.23% vs 53.77%,2.47e-04,True
Qwen_Qwen2.5-1.5B-Instruct-FC,companyName,500,increaseLength,573,2,increaseLength,1.150,46.60% vs 53.40%,1.62e-03,True
Qwen_Qwen2.5-3B-Instruct-FC,addExample,568,increaseLength,492,2,addExample,1.150,53.58% vs 46.42%,9.63e-04,True
Qwen_Qwen2.5-7B-Instruct-FC,increaseLength,611,makeCasual,531,2,increaseLength,1.150,53.50% vs 46.50%,8.14e-04,True
Qwen_Qwen2.5-0.5B-Instruct-FC,addExample,456,fusion,401,2,addExample,1.140,53.21% vs 46.79%,7.88e-03,True
Qwen_Qwen2.5-1.5B-Instruct-FC,fusion,496,numbersLine,436,2,fusion,1.140,53.22% vs 46.78%,5.45e-03,True
o1-2024-12-17-FC,endorsementLine,623,maintenanceLine,545,2,endorsementLine,1.140,53.34% vs 46.66%,1.25e-03,True
Qwen_Qwen2.5-7B-Instruct-FC,addExample,531,maintenanceLine,601,2,maintenanceLine,1.130,46.91% vs 53.09%,3.26e-03,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,addExample,322,maintenanceLine,285,2,tie,1.130,53.05% vs 46.95%,3.37e-02,False
Qwen_Qwen2.5-14B-Instruct-FC,increaseLength,632,makeCasual,571,2,tie,1.110,52.54% vs 47.46%,1.29e-02,False
Qwen_Qwen2.5-1.5B-Instruct-FC,companyName,534,makeCasual,586,2,tie,1.100,47.68% vs 52.32%,2.80e-02,False
Qwen_Qwen2.5-1.5B-Instruct-FC,companyName,536,makeProfessional,589,2,tie,1.100,47.64% vs 52.36%,2.54e-02,False
Qwen_Qwen2.5-1.5B-Instruct-FC,increaseLength,521,makeCasual,571,2,tie,1.100,47.71% vs 52.29%,3.24e-02,False
Qwen_Qwen2.5-7B-Instruct-FC,companyName,549,numbersLine,605,2,tie,1.100,47.57% vs 52.43%,1.97e-02,False
o1-2024-12-17-FC,endorsementLine,608,fusion,552,2,tie,1.100,52.41% vs 47.59%,2.01e-02,False
Qwen_Qwen2.5-0.5B-Instruct-FC,addExample,434,maintenanceLine,475,2,tie,1.090,47.74% vs 52.26%,5.45e-02,False
Qwen_Qwen2.5-0.5B-Instruct-FC,makeCasual,438,makeProfessional,478,2,tie,1.090,47.82% vs 52.18%,6.16e-02,False
Qwen_Qwen2.5-1.5B-Instruct-FC,companyName,539,numbersLine,589,2,tie,1.090,47.78% vs 52.22%,3.53e-02,False
Qwen_Qwen2.5-1.5B-Instruct-FC,increaseLength,517,makeProfessional,561,2,tie,1.090,47.96% vs 52.04%,5.81e-02,False
Qwen_Qwen2.5-1.5B-Instruct-FC,increaseLength,563,numbersLine,517,2,tie,1.090,52.13% vs 47.87%,4.78e-02,False
Qwen_Qwen2.5-1.5B-Instruct-FC,makeProfessional,587,numbersLine,541,2,tie,1.090,52.04% vs 47.96%,5.28e-02,False
Qwen_Qwen2.5-1.5B-Instruct-FC,companyName,538,maintenanceLine,580,2,tie,1.080,48.12% vs 51.88%,7.57e-02,False
Qwen_Qwen2.5-3B-Instruct-FC,addExample,531,maintenanceLine,571,2,tie,1.080,48.19% vs 51.81%,8.84e-02,False
Qwen_Qwen2.5-7B-Instruct-FC,companyName,543,increaseLength,589,2,tie,1.080,47.97% vs 52.03%,5.32e-02,False
Qwen_Qwen2.5-7B-Instruct-FC,maintenanceLine,601,numbersLine,558,2,tie,1.080,51.86% vs 48.14%,7.41e-02,False
Qwen_Qwen2.5-14B-Instruct-FC,companyName,690,makeProfessional,739,2,tie,1.070,48.29% vs 51.71%,6.68e-02,False
Qwen_Qwen2.5-7B-Instruct-FC,endorsementLine,542,fusion,581,2,tie,1.070,48.26% vs 51.74%,9.98e-02,False
deepseek-ai_DeepSeek-R1-Distill-Qwen-14B,maintenanceLine,590,numbersLine,629,2,tie,1.070,48.40% vs 51.60%,1.14e-01,False
Qwen_Qwen2.5-0.5B-Instruct-FC,endorsementLine,455,makeProfessional,481,2,tie,1.060,48.61% vs 51.39%,2.29e-01,False
Qwen_Qwen2.5-1.5B-Instruct-FC,increaseLength,561,maintenanceLine,529,2,tie,1.060,51.47% vs 48.53%,1.70e-01,False
Qwen_Qwen2.5-1.5B-Instruct-FC,maintenanceLine,544,makeCasual,576,2,tie,1.060,48.57% vs 51.43%,1.76e-01,False
Qwen_Qwen2.5-1.5B-Instruct-FC,makeCasual,579,numbersLine,546,2,tie,1.060,51.47% vs 48.53%,1.64e-01,False
Qwen_Qwen2.5-3B-Instruct-FC,companyName,540,increaseLength,574,2,tie,1.060,48.47% vs 51.53%,1.50e-01,False
deepseek-ai_DeepSeek-R1-Distill-Qwen-14B,increaseLength,591,maintenanceLine,556,2,tie,1.060,51.53% vs 48.47%,1.44e-01,False
o1-2024-12-17-FC,companyName,603,numbersLine,567,2,tie,1.060,51.54% vs 48.46%,1.37e-01,False
o1-2024-12-17-FC,makeProfessional,605,numbersLine,570,2,tie,1.060,51.49% vs 48.51%,1.49e-01,False
Qwen_Qwen2.5-0.5B-Instruct-FC,endorsementLine,480,makeCasual,455,2,tie,1.050,51.34% vs 48.66%,2.48e-01,False
Qwen_Qwen2.5-0.5B-Instruct-FC,makeCasual,451,numbersLine,473,2,tie,1.050,48.81% vs 51.19%,3.06e-01,False
Qwen_Qwen2.5-14B-Instruct-FC,companyName,690,makeCasual,726,2,tie,1.050,48.73% vs 51.27%,1.76e-01,False
Qwen_Qwen2.5-32B-Instruct-FC,makeProfessional,583,numbersLine,610,2,tie,1.050,48.87% vs 51.13%,2.69e-01,False
Qwen_Qwen2.5-3B-Instruct-FC,addExample,542,companyName,568,2,tie,1.050,48.83% vs 51.17%,2.70e-01,False
Qwen_Qwen2.5-7B-Instruct-FC,increaseLength,581,makeProfessional,554,2,tie,1.050,51.19% vs 48.81%,2.57e-01,False
deepseek-ai_DeepSeek-R1-Distill-Qwen-14B,makeProfessional,597,numbersLine,626,2,tie,1.050,48.81% vs 51.19%,2.41e-01,False
Qwen_Qwen2.5-1.5B-Instruct-FC,maintenanceLine,575,numbersLine,551,2,tie,1.040,51.07% vs 48.93%,3.12e-01,False
Qwen_Qwen2.5-1.5B-Instruct-FC,maintenanceLine,555,makeProfessional,578,2,tie,1.040,48.98% vs 51.02%,3.34e-01,False
Qwen_Qwen2.5-32B-Instruct-FC,companyName,605,numbersLine,627,2,tie,1.040,49.11% vs 50.89%,3.75e-01,False
Qwen_Qwen2.5-3B-Instruct-FC,companyName,610,numbersLine,587,2,tie,1.040,50.96% vs 49.04%,3.47e-01,False
Qwen_Qwen2.5-7B-Instruct-FC,increaseLength,575,numbersLine,552,2,tie,1.040,51.02% vs 48.98%,3.33e-01,False
Qwen_Qwen2.5-0.5B-Instruct-FC,companyName,463,endorsementLine,478,2,tie,1.030,49.20% vs 50.80%,4.89e-01,False
Qwen_Qwen2.5-0.5B-Instruct-FC,endorsementLine,463,numbersLine,476,2,tie,1.030,49.31% vs 50.69%,5.49e-01,False
Qwen_Qwen2.5-0.5B-Instruct-FC,endorsementLine,445,increaseLength,431,2,tie,1.030,50.80% vs 49.20%,5.04e-01,False
Qwen_Qwen2.5-0.5B-Instruct-FC,increaseLength,445,maintenanceLine,434,2,tie,1.030,50.63% vs 49.37%,6.00e-01,False
Qwen_Qwen2.5-0.5B-Instruct-FC,increaseLength,452,numbersLine,439,2,tie,1.030,50.73% vs 49.27%,5.38e-01,False
Qwen_Qwen2.5-0.5B-Instruct-FC,maintenanceLine,455,makeProfessional,469,2,tie,1.030,49.24% vs 50.76%,5.15e-01,False
Qwen_Qwen2.5-32B-Instruct-FC,makeCasual,608,makeProfessional,588,2,tie,1.030,50.84% vs 49.16%,4.13e-01,False
deepseek-ai_DeepSeek-R1-Distill-Qwen-14B,companyName,589,makeProfessional,573,2,tie,1.030,50.69% vs 49.31%,5.07e-01,False
deepseek-ai_DeepSeek-R1-Distill-Qwen-14B,makeCasual,597,makeProfessional,582,2,tie,1.030,50.64% vs 49.36%,5.37e-01,False
deepseek-ai_DeepSeek-R1-Distill-Qwen-14B,makeCasual,584,numbersLine,600,2,tie,1.030,49.32% vs 50.68%,5.11e-01,False
deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,makeCasual,187,makeProfessional,182,2,tie,1.030,50.68% vs 49.32%,7.13e-01,False
Qwen_Qwen2.5-0.5B-Instruct-FC,companyName,432,increaseLength,423,2,tie,1.020,50.53% vs 49.47%,6.63e-01,False
Qwen_Qwen2.5-0.5B-Instruct-FC,companyName,467,maintenanceLine,459,2,tie,1.020,50.43% vs 49.57%,7.10e-01,False
Qwen_Qwen2.5-0.5B-Instruct-FC,endorsementLine,471,maintenanceLine,461,2,tie,1.020,50.54% vs 49.46%,6.43e-01,False
Qwen_Qwen2.5-0.5B-Instruct-FC,increaseLength,445,makeCasual,437,2,tie,1.020,50.45% vs 49.55%,7.03e-01,False
Qwen_Qwen2.5-0.5B-Instruct-FC,increaseLength,416,makeProfessional,425,2,tie,1.020,49.46% vs 50.54%,6.61e-01,False
Qwen_Qwen2.5-0.5B-Instruct-FC,makeProfessional,470,numbersLine,459,2,tie,1.020,50.59% vs 49.41%,6.10e-01,False
Qwen_Qwen2.5-1.5B-Instruct-FC,makeCasual,558,makeProfessional,568,2,tie,1.020,49.56% vs 50.44%,6.73e-01,False
Qwen_Qwen2.5-14B-Instruct-FC,makeProfessional,744,numbersLine,757,2,tie,1.020,49.57% vs 50.43%,6.35e-01,False
Qwen_Qwen2.5-32B-Instruct-FC,makeCasual,593,numbersLine,603,2,tie,1.020,49.58% vs 50.42%,6.83e-01,False
Qwen_Qwen2.5-3B-Instruct-FC,companyName,574,maintenanceLine,587,2,tie,1.020,49.44% vs 50.56%,5.89e-01,False
Qwen_Qwen2.5-3B-Instruct-FC,increaseLength,561,maintenanceLine,552,2,tie,1.020,50.40% vs 49.60%,7.03e-01,False
Qwen_Qwen2.5-3B-Instruct-FC,maintenanceLine,587,numbersLine,577,2,tie,1.020,50.43% vs 49.57%,6.78e-01,False
Qwen_Qwen2.5-3B-Instruct-FC,makeCasual,568,numbersLine,581,2,tie,1.020,49.43% vs 50.57%,5.88e-01,False
Qwen_Qwen2.5-3B-Instruct-FC,makeProfessional,568,numbersLine,579,2,tie,1.020,49.52% vs 50.48%,6.46e-01,False
Qwen_Qwen2.5-7B-Instruct-FC,makeCasual,574,numbersLine,586,2,tie,1.020,49.48% vs 50.52%,6.18e-01,False
Qwen_Qwen2.5-7B-Instruct-FC,makeProfessional,574,numbersLine,586,2,tie,1.020,49.48% vs 50.52%,6.18e-01,False
deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,companyName,222,increaseLength,227,2,tie,1.020,49.44% vs 50.56%,7.39e-01,False
